site,tree_n,x,y
Berber,1,-97.9091024836,30.3997960232
Berber,2,-97.9092791849,30.3989828644
Berber,3,-97.9100703078,30.3990528761
Wade,1,-98.0607369654,30.8263371953
Wade,3,-98.060622617,30.8265679655
Wade,2,-98.0605202576,30.8265415504
Wade,5,-98.0606061671,30.8270751859
Wade,4,-98.0605359143,30.8269575312
Cell tower site,1,-98.0941743506,30.3002692532
Cell tower,2,-98.0942581167,30.3003396055
Cell tower,3,-98.0945446658,30.3005084741
Cell tower,4,-98.0945732709,30.3005363739
Cathedral,2,-98.1657124752,29.9582012957
Cathedral,1,-98.1655171851,29.9574128702
Cathedral,3,-98.1670235053,29.9570923403
Cathedral,4,-98.1674076096,29.9570117652
Fischer,1,-98.3359976487,29.9650252443
Fisher,2,-98.3358651975,29.9649253146
Sweet,2,-100.1831352086,30.0158567955
Sweet,1,-100.1834608363,30.0157985867
Sweet,4,-100.1841420081,30.0161958163
Sweet,3,-100.184243109,30.016313485
Sonora,2,-100.5407041996,30.2915332932
Sonora,1,-100.5404374979,30.2914290208
Sonora,8,-100.5414639839,30.2912307409
Sonora,7,-100.5410996263,30.2911371942
Sonora,6,-100.5428381278,30.2911682358
Sonora,5,-100.5442088977,30.2918546032
Kimble,2,-100.0665943414,30.7056206795
Kimble,1,-100.0669626174,30.7059196686
Kimble,4,-100.0664140738,30.7059103886
Kimble,3,-100.0668683141,30.7060420454
Cell tower,7,-98.0961208355,30.3023727102
Cell tower,8,-98.0960816186,30.3026330652
Cathedral,6,-98.1659336602,29.9587778888
Cathedral,5,-98.1658688602,29.9594929084
Cathedral,7,-98.1685611219,29.9599917333
Sonora,7,-100.5414428025,30.2912455237
Kimble,5,-100.0651417503,30.7063417322
Kimble,6,-100.0652039676,30.706627904
Glimmer,1,-97.9090939703,30.3997975759
Wade,1,-98.060765751,30.8263561456
Wade,2,-98.0605332625,30.8265546596
Wade,3,-98.0606145951,30.8265941339
Wade,5,-98.0605096961,30.8269430528
